ranks,links,directors,posters,titles,years,meter_scores,critics,synopses,casts
86,https://www.rottentomatoes.com/m/lone_survivor,['Peter Berg'],https://resizing.flixster.com/mEx8_VxaAhz3l6f3MyCDLBkz_zw=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/129685/129685_aa.jpg,Lone Survivor,2013,75%,"A true account of military courage and survival, Lone Survivor wields enough visceral power to mitigate its heavy-handed jingoism.","In 2005 Afghanistan, Navy SEALs Marcus Luttrell (Mark Wahlberg), Michael Murphy (Taylor Kitsch), Danny Dietz (Emile Hirsch) and Matthew ""Axe""... [More]","['Mark Wahlberg', ' Taylor Kitsch', ' Eric Bana', ' Emile Hirsch']"
87,https://www.rottentomatoes.com/m/1065684-braveheart,['Mel Gibson'],https://resizing.flixster.com/Zts8ZniFVMUPo0oOcVfB4ulc_kE=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16782_p_v12_au.jpg,Braveheart,1995,76%,"Distractingly violent and historically dodgy, Mel Gibson's Braveheart justifies its epic length by delivering enough sweeping action, drama, and romance to match its ambition.",Tells the story of the legendary thirteenth century Scottish hero named William Wallace (Mel Gibson). Wallace rallies the Scottish against... [More],"['Mel Gibson', ' Sophie Marceau', ' Patrick McGoohan', ' Catherine McCormack']"
88,https://www.rottentomatoes.com/m/joyeux_noel,['Christian Carion'],https://resizing.flixster.com/0b9Ry4pyYtpPM5zlU5dD3R_Td5M=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p159822_p_v8_ab.jpg,Merry Christmas,2005,74%,The poignant humanity on display in Joyeux Noel makes its sentimentality forgivable.,"With the advent of World War I, Europe is thrown into a brutal and vicious chaos as men are forced... [More]","['Diane Kruger', ' Benno Fürmann', ' Guillaume Canet', ' Gary Lewis']"
89,https://www.rottentomatoes.com/m/flags_of_our_fathers,['Clint Eastwood'],https://resizing.flixster.com/dGx1eI2CAmHo3TWg_lFg-KeJcVk=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p161886_p_v8_ab.jpg,Flags of Our Fathers,2006,76%,"Flags of Our Fathers is both a fascinating look at heroism, both earned and manufactured, and a well-filmed salute to the men who fought at the battle of Iwo Jima.","In February and March of 1945, U.S. troops fight and win one of the most crucial and costly battles of... [More]","['Ryan Phillippe', ' Jesse Bradford', ' Adam Beach', ' John Benjamin Hickey']"
90,https://www.rottentomatoes.com/m/american_sniper,['Clint Eastwood'],https://resizing.flixster.com/LA7FPG4BNNGuVacO4_jSUZDPz5g=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10991238_p_v8_ay.jpg,American Sniper,2014,72%,"Powered by Clint Eastwood's sure-handed direction and a gripping central performance from Bradley Cooper, American Sniper delivers a tense, vivid tribute to its real-life subject.",U.S. Navy SEAL Chris Kyle (Bradley Cooper) takes his sole mission -- protect his comrades -- to heart and becomes... [More],"['Bradley Cooper', ' Sienna Miller', ' Jake McDorman', ' Luke Grimes']"
91,https://www.rottentomatoes.com/m/henry_v_1946,['Laurence Olivier'],https://resizing.flixster.com/Ydijf-0vhpQz1kaaqb7SCn1w3dY=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8964_p_v8_aa.jpg,Henry V,1945,100%,"A patriotic booster, Laurence Olivier's directorial debut and star turn as Henry V result in a sharply realized and resonant take on Shakespeare's deeply British warrior king.","Olivier's masterful, sweeping rendition of Shakespeare, filmed in rich color and ingeniously including a typical performance at the Globe Theatre... [More]","['Laurence Olivier', ' Robert Newton', ' Renée Asherson', ' Leslie Banks']"
92,https://www.rottentomatoes.com/m/ivans_childhood,['Andrei Tarkovsky'],https://resizing.flixster.com/aLSk3OdiKzPV6KclFB7a1BP6fRA=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11050_p_v8_ab.jpg,Ivan's Childhood,1963,100%,"Ostensibly an atypical Tarkovsky work (less than 100 minutes!), Ivan's Childhood carries the poetry and passion that would characterize the director from here on.","When Nazi invaders destroy his Russian village and kill his family, 12-year-old Ivan (Kolya Burlyayev) is placed in a German... [More]","['Nikolay Burlyaev', ' Valentin Zubkov', ' Evgeniy Zharikov', ' Stepan Krylov']"
93,https://www.rottentomatoes.com/m/the_forgotten_battle,['Matthijs van Heijningen Jr.'],https://resizing.flixster.com/T9Pmf0z46s2I8KaU2bvTM4MibZQ=/fit-in/180x240/v2/https://resizing.flixster.com/GO-5E_J3kAqKDCbg_W8uWvA5Uh0=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2YxOGRlNWU3LWM4OWItNDM1NC04NDU3LTY5MmRiY2MxODQxOS5qcGc=,The Forgotten Battle,2020,100%,No consensus yet.,"November 1944. On the flooded island of Walcheren in Zeeland, thousands of allies fight the German army. Touching three young... [More]","['Gijs Blom', ' Jamie Flatters', ' Susan Radder', ' Jan Bijvoet']"
94,https://www.rottentomatoes.com/m/narvik,['Erik Skjoldbjærg'],https://resizing.flixster.com/vqoM0eczRS_aF8kfLr6LVbudIQ0=/fit-in/180x240/v2/https://resizing.flixster.com/NDKcwTHxuVeJwej8mVkLwmJdbi8=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzk1NmJiNzQ4LTk2ZWQtNGJiMi04MWRjLTAyYzdmNGJmZDQzZC5qcGc=,Narvik,2022,100%,No consensus yet.,"In April, 1940, the eyes of the world are on Narvik, a small town in northern Norway, a source of... [More]","['Billy Campbell', ' Stig Henrik Hoff', ' Henrik Mestad', ' Benjamin Noble']"
95,https://www.rottentomatoes.com/m/come_and_see,['Elem Klimov'],https://resizing.flixster.com/nR0uHs2fF3RVa1YYLXDFMxU00oo=/fit-in/180x240/v2/https://resizing.flixster.com/71YNJWXl8ds8t0mazmlxlsQuMws=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzBjMGU5NDJmLWZlNTQtNDcyNy1iY2E4LWRmNDM0N2M1NjdjYy5qcGc=,Come and See,1985,90%,"As effectively anti-war as movies can be, Come and See is a harrowing odyssey through the worst that humanity is capable of, directed with bravura intensity by Elem Klimov.",The invasion of a village in Byelorussia by German forces sends young Florya (Aleksey Kravchenko) into the forest to join... [More],"['Aleksey Kravchenko', ' Olga Mironova', ' Liubomiras Laucevicius', ' Vladas Bagdonas']"
96,https://www.rottentomatoes.com/m/major_dundee,['Sam Peckinpah'],https://resizing.flixster.com/IcSItJpwzMwOBasXuavmFLxeFD4=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p36002_p_v8_aa.jpg,Major Dundee,1965,97%,"Major Dundee is a Western-type with big war scenes, shot with bombast typical of Sam Peckinpah.","During the end of the Civil War, Major Dundee guards Confederate prisoners, Union deserters and ordinary hard-bitten criminals in a... [More]","['Charlton Heston', ' Richard Harris', ' Jim Hutton', ' James Coburn']"
97,https://www.rottentomatoes.com/m/life_and_death_of_colonel_blimp,"['Michael Powell', ' Emeric Pressburger']",https://resizing.flixster.com/yHIOmwiWRgBzWt9CHbS0MvwU18s=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p6218_p_v8_aa.jpg,The Life and Death of Colonel Blimp,1943,97%,"A moving evocation of both British values and the passage of time, The Life and Death of Colonel Blimp is an epic portrait of a singular character by Powell and Pressburger.","General Candy (Roger Livesey), who's overseeing an English squad in 1943, is a veteran leader who doesn't have the respect... [More]","['Roger Livesey', ' Deborah Kerr', ' Anton Walbrook', ' John Laurie']"
98,https://www.rottentomatoes.com/m/zulu,['Charles De Latour'],https://resizing.flixster.com/DU-JlmHV7hCDCpqlvVIZmVXPdsU=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1566_p_v8_aa.jpg,Zulu,1964,96%,"Zulu patiently establishes a cast of colorful characters and insurmountable stakes before unleashing its white-knuckle spectacle, delivering an unforgettable war epic in the bargain.","In 1879, the Zulu nation hands colonial British forces a resounding defeat in battle. A nearby regiment of the British... [More]","['Stanley Baker', ' Jack Hawkins', ' Ulla Jacobsson', ' Michael Caine']"
99,https://www.rottentomatoes.com/m/1022172-twelve_oclock_high,['Henry King'],https://resizing.flixster.com/TdjLTY26W4FagHEFutP750hw2EI=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p121_p_v8_ad.jpg,Twelve O'Clock High,1949,96%,"Twelve O'Clock High is a high-stakes, high-tension war drama powered by great, well-written characters.","In 1942, an American Air Force unit stationed in England is plagued with morale problems until no-nonsense Brigadier General Frank... [More]","['Gregory Peck', ' Dean Jagger', ' Gary Merrill', ' Hugh Marlowe']"
100,https://www.rottentomatoes.com/m/gunga_din,['George Stevens'],https://resizing.flixster.com/OHQ0EAk28LEW1RN5ZW-uJC4zZVc=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p4530_p_v10_ac.jpg,Gunga Din,1939,93%,"Funny, suspenseful, and spectacularly entertaining, Gunga Din is an expertly calibrated adventure flick with some unfortunately outdated ideas about race.","British army sergeants Ballantine (Douglas Fairbanks Jr.), Cutter (Cary Grant) and MacChesney (Victor McLaglen) serve in India during the 1880s,... [More]","['Cary Grant', ' Douglas Fairbanks Jr.', ' Victor McLaglen', ' Joan Fontaine']"
