ranks,links,directors,posters,titles,years,meter_scores,critics,synopses,casts
13,https://www.rottentomatoes.com/m/army_of_shadows,['Jean-Pierre Melville'],https://resizing.flixster.com/OHE1wtBWUHgBT9fL2BvHqiYvSo8=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p128211_p_v8_aa.jpg,Army of Shadows,1969,97%,"Originally made in 1969, this recently reissued classic is a masterful examination of the inner workings of the World War II resistance efforts.","This adaptation of the book by Joseph Kessel paints an understated, unglamorous portrait of the French Resistance during World World... [More]","['Lino Ventura', ' Paul Meurisse', ' Jean-Pierre Cassel', ' Paul Crauchet']"
14,https://www.rottentomatoes.com/m/la_grande_illusion,['Jean Renoir'],https://resizing.flixster.com/x5UJL0752rJaOEXSuD4t9uJa4SE=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1115_p_v8_aa.jpg,Grand Illusion,1937,97%,"Jean Renoir's Grand Illusion is a masterful anti-war statement, bringing humane insight and an undercurrent of ironic humor to an unusual relationship between captor and captive.","A group of French soldiers, including the patrician Captain de Boeldieu (Pierre Fresnay) and the working-class Lieutenant Maréchal (Jean Gabin),... [More]","['Pierre Fresnay', ' Erich von Stroheim', ' Jean Gabin', ' Marcel Dalio']"
15,https://www.rottentomatoes.com/m/son_of_saul,['László Nemes'],https://resizing.flixster.com/rwYQE3tnfo-FEUztzaK8hgJnSLk=/fit-in/180x240/v2/https://resizing.flixster.com/pVRBxwHE9jpGvLzlkAWCf5mQwIc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzc4YWJhZmM4LTg0MzMtNDdmNS04ZGNiLWE5NWQ3Y2VmZmE4MC53ZWJw,Son of Saul,2015,96%,"Grimly intense yet thoroughly rewarding, Son of Saul offers an unforgettable viewing experience -- and establishes director László Nemes as a talent to watch.","During World War II, a Jewish worker (Géza Röhrig) at the Auschwitz concentration camp tries to find a rabbi to... [More]","['Géza Röhrig', ' Kecske Molnár Levente', ' Todd Charmont', ' Sándor Zsótér']"
16,https://www.rottentomatoes.com/m/waltz_with_bashir,['Ari Folman'],https://resizing.flixster.com/jUxdAKTGDenubfFUspPg_u7Oqdc=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p187168_p_v8_ab.jpg,Waltz With Bashir,2008,97%,"A wholly innovative, original, and vital history lesson, with pioneering animation, Waltz With Bashir delivers its message about the Middle East in a mesmerizing fashion.","Israeli filmmaker Ari Folman wrote, directed and stars in this autobiographical animated film. As a 19-year-old infantry soldier in the... [More]","['Ron Ben-Yishai', ' Ronny Dayag', ' Ari Folman', ' Dror Harazi']"
17,https://www.rottentomatoes.com/m/71_2015,['Yann Demange'],https://resizing.flixster.com/H3ZUNtwryJel2Xncs5IaTug3V2E=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10912522_p_v11_aq.jpg,'71,2014,96%,"Powerfully directed and acted, '71 stays true to its fact-based origins while remaining as gripping as any solidly crafted action thriller.",A young British soldier (Jack O'Connell) must find his way back to safety after his unit accidentally abandons him during... [More],"[""Jack O'Connell"", ' Paul Anderson', ' Sean Harris', ' Richard Dormer']"
18,https://www.rottentomatoes.com/m/bridge_on_the_river_kwai,['David Lean'],https://resizing.flixster.com/lW31BtoljSy_FDW94QhSNKNG-JE=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/10025/10025_aa.jpg,The Bridge on the River Kwai,1957,96%,"This complex war epic asks hard questions, resists easy answers, and boasts career-defining work from star Alec Guinness and director David Lean.",Adaptation of the Pierre Bouelle novel about POWs in Burma forced to build a bridge to aid the war effort... [More],"['William Holden', ' Alec Guinness', ' Sessue Hayakawa', ' Jack Hawkins']"
19,https://www.rottentomatoes.com/m/ran,['Akira Kurosawa'],https://resizing.flixster.com/UeByMY3PhWlLtVk7KUykdUQUnHY=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/24039/24039_aa.jpg,Ran,1985,96%,"Akira Kurosawa's sprawling, epic take on King Lear should be required viewing for fans of westerns, war movies, or period films in general.","At the age of seventy, after years of consolidating his empire, the Great Lord Hidetora Ichimonji (Tatsuya Nakadai) decides to... [More]","['Tatsuya Nakadai', ' Mieko Harada', ' Akira Terao', ' Jinpachi Nezu']"
20,https://www.rottentomatoes.com/m/paths_of_glory,['Stanley Kubrick'],https://resizing.flixster.com/xfyQ6qErqOC4-jDe96Qxjz42h0A=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p2007_p_v8_aa.jpg,Paths of Glory,1957,96%,"Paths of Glory is a transcendentally humane war movie from Stanley Kubrick, with impressive, protracted battle sequences and a knock-out ending.","During World War I, commanding officer General Broulard (Adolphe Menjou) orders his subordinate, General Mireau (George Macready), to attack a... [More]","['Kirk Douglas', ' Ralph Meeker', ' Adolphe Menjou', ' George Macready']"
21,https://www.rottentomatoes.com/m/to_be_or_not_to_be,['Ernst Lubitsch'],https://resizing.flixster.com/0vL5Vo8-tzPTCzcBXHzQA4CqIrE=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1972_p_v8_aa.jpg,To Be or Not to Be,1942,96%,"A complex and timely satire with as much darkness as slapstick, Ernst Lubitsch's To Be or Not To Be delicately balances humor and ethics.",Acting couple Joseph (Jack Benny) and Maria Tura (Carole Lombard) are managing a theatrical troupe when the Nazis invade Poland.... [More],"['Carole Lombard', ' Jack Benny', ' Robert Stack', ' Felix Bressart']"
22,https://www.rottentomatoes.com/m/eye_in_the_sky,['Gavin Hood'],https://resizing.flixster.com/Z3YRj8wcfersCsIvkCed6FevZtk=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12220690_p_v8_ac.jpg,Eye in the Sky,2015,95%,"As taut as it is timely, Eye in the Sky offers a powerfully acted -- and unusually cerebral -- spin on the modern wartime political thriller.",A lieutenant general (Alan Rickman) and a colonel (Helen Mirren) face political opposition after ordering a drone missile strike to... [More],"['Helen Mirren', ' Aaron Paul', ' Alan Rickman', ' Barkhad Abdi']"
23,https://www.rottentomatoes.com/m/pianist,['Roman Polanski'],https://resizing.flixster.com/Dt32gq9UFech7u66K84bJKBG3cc=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p30193_p_v8_ak.jpg,The Pianist,2002,95%,"Well-acted and dramatically moving, The Pianist is Polanski's best work in years.","In this adaptation of the autobiography ""The Pianist: The Extraordinary True Story of One Man's Survival in Warsaw, 1939-1945,"" Wladyslaw... [More]","['Adrien Brody', ' Thomas Kretschmann', ' Frank Finlay', ' Maureen Lipman']"
24,https://www.rottentomatoes.com/m/saving_private_ryan,['Steven Spielberg'],https://resizing.flixster.com/XVNAznyRbCLqsckGZpqtGCwAHcs=/fit-in/180x240/v2/https://resizing.flixster.com/e4XDrbw7Fd7VYePV7cxB8sQV3eA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzc1MDczNGJlLWNjN2EtNGIxMS1iOWM5LWJjYTUwODk4MzA5Yy53ZWJw,Saving Private Ryan,1998,94%,"Anchored by another winning performance from Tom Hanks, Steven Spielberg's unflinchingly realistic war film virtually redefines the genre.","Captain John Miller (Tom Hanks) takes his men behind enemy lines to find Private James Ryan, whose three brothers have... [More]","['Tom Hanks', ' Edward Burns', ' Tom Sizemore', ' Jeremy Davies']"
25,https://www.rottentomatoes.com/m/lawrence_of_arabia,['David Lean'],https://resizing.flixster.com/b4Sfr2Gf3LZ2YRAjayoNwCDQsbM=/fit-in/180x240/v2/https://resizing.flixster.com/IAhICI6jQog3vLwyx_-XXZ39JjE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzc0MmFhNDY4LTM2ZmUtNDFmYy1hZGYzLTRmYTZmOGE3MDc0MC5qcGc=,Lawrence of Arabia,1962,93%,"The epic of all epics, Lawrence of Arabia cements director David Lean's status in the filmmaking pantheon with nearly four hours of grand scope, brilliant performances, and beautiful cinematography.","Due to his knowledge of the native Bedouin tribes, British Lieutenant T.E. Lawrence (Peter O'Toole) is sent to Arabia to... [More]","[""Peter O'Toole"", ' Alec Guinness', ' Anthony Quinn', ' Omar Sharif']"
26,https://www.rottentomatoes.com/m/three_kings,['David O. Russell'],https://resizing.flixster.com/I03JTH6Sl4UerOk74cwNXwyHHDA=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p23929_p_v8_aa.jpg,Three Kings,1999,94%,"Three Kings successfully blends elements of action, drama, and comedy into a thoughtful, exciting movie on the Gulf War.","Just after the end of the Gulf War, four American soldiers decide to steal a cache of Saddam Hussein's hidden... [More]","['George Clooney', ' Mark Wahlberg', ' Ice Cube', ' Spike Jonze']"
27,https://www.rottentomatoes.com/m/1019544-spartacus,['Stanley Kubrick'],https://resizing.flixster.com/p81bPf7uLuHYBsiVV_AlGzkvi6Q=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p289_p_v8_ao.jpg,Spartacus,1960,94%,"Featuring terrific performances and epic action, Kubrick's restored swords-and-sandals epic is a true classic.","The rebellious Thracian Spartacus, born and raised a slave, is sold to Gladiator trainer Batiatus. After weeks of being trained... [More]","['Kirk Douglas', ' Laurence Olivier', ' Jean Simmons', ' Tony Curtis']"
28,https://www.rottentomatoes.com/m/the_great_escape,['John Sturges'],https://resizing.flixster.com/elATHbOpXciI1ta8ukk1n_06FZY=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p3150_p_v8_aj.jpg,The Great Escape,1963,94%,"With its impeccably slow-building story and a cast for the ages, The Great Escape is an all-time action classic.","Imprisoned during World War II in a German POW camp, a group of Allied soldiers are intent on breaking out,... [More]","['Steve McQueen', ' James Garner', ' Richard Attenborough', ' Charles Bronson']"
29,https://www.rottentomatoes.com/m/1008415-glory,['Edward Zwick'],https://resizing.flixster.com/g1TL6JLvHjroVuhZ8Ikf1YFnEKQ=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12022_p_v8_aa.jpg,Glory,1989,95%,"Bolstered by exceptional cinematography, powerful storytelling, and an Oscar-winning performance by Denzel Washington, Glory remains one of the finest Civil War movies ever made.","Following the Battle of Antietam, Col. Robert Gould Shaw (Matthew Broderick) is offered command of the United States' first all-African-American... [More]","['Matthew Broderick', ' Denzel Washington', ' Morgan Freeman', ' Cary Elwes']"
30,https://www.rottentomatoes.com/m/no_mans_land,['Danis Tanovic'],https://resizing.flixster.com/3LMtMPuqKxfU6BsF-S2MIqjMut0=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p28366_p_v8_aa.jpg,No Man's Land,2001,93%,"Bleak and darkly humorous, No Man's Land vividly illustrates the absurdity of war.","Ciki (Branko Djuric) and Nino (Rene Bitorajac), a Bosnian and a Serb, are soldiers stranded in No Man's Land --... [More]","['Branko Djuric', ' Rene Bitorajac', ' Filip Sovagovic', ' Georges Siatidis']"
31,https://www.rottentomatoes.com/m/wonder_woman_2017,['Patty Jenkins'],https://resizing.flixster.com/ceWg-__cirAohZIhTwSmqsU310M=/fit-in/180x240/v2/https://resizing.flixster.com/EwkhPLrOoe17Akas804EJEbjy-Q=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Q2MmJhMDFmLTA1ZmYtNDUzYi05YjU4LTllZTZjNTQyY2JlYS53ZWJw,Wonder Woman,2017,93%,"Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion.","Before she was Wonder Woman (Gal Gadot), she was Diana, princess of the Amazons, trained to be an unconquerable warrior.... [More]","['Gal Gadot', ' Chris Pine', ' Connie Nielsen', ' Robin Wright']"
32,https://www.rottentomatoes.com/m/wings,['William A. Wellman'],https://resizing.flixster.com/8k-EJCv_HBuv3HYfEFjULpdGPvk=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p5240_p_v8_ac.jpg,Wings,1927,94%,"Subsequent war epics may have borrowed heavily from the original Best Picture winner, but they've all lacked Clara Bow's luminous screen presence and William Wellman's deft direction.","With World War I afoot, David Armstrong (Richard Arlen) and Jack Powell (Charles ""Buddy"" Rogers) join the military with an... [More]","['Clara Bow', ' Charles ""Buddy"" Rogers', ' Richard Arlen', ' Jobyna Ralston']"
33,https://www.rottentomatoes.com/m/1040678-last_of_the_mohicans,['Michael Mann'],https://resizing.flixster.com/Oly0Ljq20qxJ-v_0cKMV3V9ff2Q=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p14197_p_v12_an.jpg,The Last of the Mohicans,1992,88%,The Last of the Mohicans is a breathless romantic adventure that plays loose with James Fenimore Cooper's novel -- and comes out with a richer action movie for it.,"The last members of a dying Native American tribe, the Mohicans -- Uncas (Eric Schweig), his father Chingachgook (Russell Means),... [More]","['Daniel Day-Lewis', ' Madeleine Stowe', ' Russell Means', ' Eric Schweig']"
34,https://www.rottentomatoes.com/m/killing_fields,['Roland Joffé'],https://resizing.flixster.com/pfstZCgFB8M_pzShQvcixzo5mx8=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8639_p_v8_aa.jpg,The Killing Fields,1984,93%,"Artfully composed, powerfully acted, and fueled by a powerful blend of anger and empathy, The Killing Fields is a career-defining triumph for director Roland Joffé and a masterpiece of cinema.","New York Times reporter Sydney Schanberg (Sam Waterston) is on assignment covering the Cambodian Civil War, with the help of... [More]","['Sam Waterston', ' Haing S. Ngor', ' John Malkovich', ' Julian Sands']"
35,https://www.rottentomatoes.com/m/dunkirk_2017,['Christopher Nolan'],https://resizing.flixster.com/ac3OgW7mpLUlbbXjUTrVf7919tU=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p13153578_p_v8_af.jpg,Dunkirk,2017,92%,"Dunkirk serves up emotionally satisfying spectacle, delivered by a writer-director in full command of his craft and brought to life by a gifted ensemble cast that honors the fact-based story.","In May 1940, Germany advanced into France, trapping Allied troops on the beaches of Dunkirk. Under air and ground cover... [More]","['Fionn Whitehead', ' Tom Glynn-Carney', ' Jack Lowden', ' Harry Styles']"
36,https://www.rottentomatoes.com/m/land_of_mine,['Martin Zandvliet'],https://resizing.flixster.com/yopzLH8pdauiyIhToNYaCgsGuag=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12150047_p_v8_aq.jpg,Land of Mine,2015,92%,Land of Mine uses an oft-forgotten chapter from the aftermath of World War II to tell a hard-hitting story whose period setting belies its timeless observations about bloodshed and forgiveness.,A group of German POWs are forced to dig up millions of land mines with their bare hands.... [More],"['Roland Møller', ' Mikkel Boe Følsgaard', ' Laura Bro', ' Louis Hofmann']"
37,https://www.rottentomatoes.com/m/zero_dark_thirty,['Kathryn Bigelow'],https://resizing.flixster.com/p-_PBXgr8N-ZAvfsEwAB2_Moh1I=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9400738_p_v8_az.jpg,Zero Dark Thirty,2012,91%,"Gripping, suspenseful, and brilliantly crafted, Zero Dark Thirty dramatizes the hunt for Osama bin Laden with intelligence and an eye for detail.","Following the terrorist attacks of Sept. 11, 2001, Osama bin Laden becomes one of the most-wanted men on the planet.... [More]","['Jessica Chastain', ' Jason Clarke', ' Joel Edgerton', ' Jennifer Ehle']"
38,https://www.rottentomatoes.com/m/letters_from_iwo_jima,['Clint Eastwood'],https://resizing.flixster.com/uSjUKp9P9vJ9WcKSfsezufUdx6Q=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p164369_p_v8_ae.jpg,Letters From Iwo Jima,2006,91%,"A powerfully humanistic portrayal of the perils of war, this companion piece to Flags of our Fathers is potent and thought-provoking, and it demonstrates Clint Eastwood's maturity as a director.",Long-buried missives from the island reveal the stories of the Japanese troops who fought and died there during World War... [More],"['Ken Watanabe', ' Kazunari Ninomiya', ' Tsuyoshi Ihara', ' Ryô Kase']"
39,https://www.rottentomatoes.com/m/stalag_17,['Billy Wilder'],https://resizing.flixster.com/Ocn0aIOxJFonX8yKkFx-j3dfiqM=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p887_p_v8_aa.jpg,Stalag 17,1953,91%,"Stalag 17 survives the jump from stage to screen with flying colors, thanks to Billy Wilder's typically sterling direction and a darkly funny script.","One night in 1944 in a German POW camp housing American airmen, two prisoners try to escape the compound and... [More]","['William Holden', ' Otto Preminger', ' Robert Strauss', ' Don Taylor']"
40,https://www.rottentomatoes.com/m/full_metal_jacket,['Stanley Kubrick'],https://resizing.flixster.com/T8EegdiNgsfNea-ibEsn8EthQzc=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10114_p_v8_aa.jpg,Full Metal Jacket,1987,90%,"Intense, tightly constructed, and darkly comic at times, Stanley Kubrick's Full Metal Jacket may not boast the most original of themes, but it is exceedingly effective at communicating them.","Stanley Kubrick's take on the Vietnam War follows smart-aleck Private Davis (Matthew Modine), quickly christened ""Joker"" by his foul-mouthed drill... [More]","['Matthew Modine', ' Adam Baldwin', "" Vincent D'Onofrio"", ' R. Lee Ermey']"
41,https://www.rottentomatoes.com/m/1008074-gallipoli,['Peter Weir'],https://resizing.flixster.com/iFrtjgcvO7tgAsK0CNwmeENGzJQ=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p4054_p_v8_aa.jpg,Gallipoli,1981,91%,Peter Weir's devastating anti-war film features a low-key but emotionally wrenching performance from Mel Gibson as a young soldier fighting in one of World War I's most deadly and horrifying battles.,Archy (Mark Lee) and Frank (Mel Gibson) are two young Australian sprinters who want to join the army to fulfill... [More],"['Mark Lee', ' Mel Gibson', ' Bill Kerr', ' Ron Graham']"
42,https://www.rottentomatoes.com/m/all_quiet_on_the_western_front_2022,['Edward Berger'],https://resizing.flixster.com/6sqa_k4rmkQ5YsXgP7uILv46jPg=/fit-in/180x240/v2/https://resizing.flixster.com/Tv-nj_XzcvU5GZthFm-0xrSvvjo=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzljM2U3Mjk3LWExNzgtNGE2NS05OTMxLWVlZmU1NzNlZWM5MS5qcGc=,All Quiet on the Western Front,2022,90%,"Both timely and timeless, All Quiet on the Western Front retains the power of its classic source material by focusing on the futility of war.",All Quiet on the Western Front tells the gripping story of a young German soldier on the Western Front of... [More],"['Felix Kammerer', ' Albrecht Schuch', ' Aaron Hilmer', ' Moritz Klaus']"
43,https://www.rottentomatoes.com/m/the_imitation_game,['Morten Tyldum'],https://resizing.flixster.com/Q9C86qn22vquvJMZiSXaXFfX1S0=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10771057_p_v12_av.jpg,The Imitation Game,2014,90%,"With an outstanding starring performance from Benedict Cumberbatch illuminating its fact-based story, The Imitation Game serves as an eminently well-made entry in the ""prestige biopic"" genre.","In 1939, newly created British intelligence agency MI6 recruits Cambridge mathematics alumnus Alan Turing (Benedict Cumberbatch) to crack Nazi codes,... [More]","['Benedict Cumberbatch', ' Keira Knightley', ' Matthew Goode', ' Rory Kinnear']"
44,https://www.rottentomatoes.com/m/rescue_dawn,['Werner Herzog'],https://resizing.flixster.com/XmKjzDAfQo2IRGwxPO34R93Hqsg=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p163879_p_v8_ap.jpg,Rescue Dawn,2006,90%,"Director Werner Herzog has once again made a compelling tale of man versus nature, and Christian Bale completely immerses himself in the role of fighter pilot (and prisoner of war) Dieter Dengler.","During the Vietnam War, Dieter Dengler (Christian Bale), a U.S. fighter pilot, is shot down over Laos and taken captive... [More]","['Christian Bale', ' Steve Zahn', ' Jeremy Davies', ' Galen Yuen']"
45,https://www.rottentomatoes.com/m/downfall,['Oliver Hirschbiegel'],https://resizing.flixster.com/FIJTU16sUUzENP6KcTw4v_essiw=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p35549_p_v8_aa.jpg,Downfall,2004,90%,"Downfall is an illuminating, thoughtful and detailed account of Hitler's last days.","In 1942, young Traudl Junge (Alexandra Maria Lara) lands her dream job -- secretary to Adolf Hitler (Bruno Ganz) at... [More]","['Bruno Ganz', ' Alexandra Maria Lara', ' Corinna Harfouch', ' Ulrich Matthes']"
46,https://www.rottentomatoes.com/m/wind_that_shakes_the_barley,['Ken Loach'],https://resizing.flixster.com/ArJLbqw5HXxkecY97-X_om3st5I=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p163570_p_v8_aa.jpg,The Wind That Shakes the Barley,2006,90%,"Bleak and uncompromising, but director Ken Loach brightens his film with gorgeous cinematography and tight pacing, and features a fine performance from Cillian Murphy.",In 1920s Ireland young doctor Damien O'Donovan (Cillian Murphy) prepares to depart for a new job in a London hospital.... [More],"['Cillian Murphy', ' Padraic Delaney', ' Liam Cunningham', ' Orla Fitzgerald']"
47,https://www.rottentomatoes.com/m/lebanon-2010,['Samuel Maoz'],https://resizing.flixster.com/Q6EYZMO42M80vYRxzMEHvEIx-ZE=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8006465_p_v8_aa.jpg,Lebanon,2009,90%,"A powerful and personal account of war on the front line, writer-director Samuel Maoz takes the viewer inside an Israeli tank to deliver an exhausting, original film.",This tense war film focuses on a group of Israeli soldiers operating a tank in hostile territory during the 1982... [More],"['Yoav Donat', ' Itay Tiran', ' Oshri Cohen', ' Michael Moshonov']"
48,https://www.rottentomatoes.com/m/gone_with_the_wind,['Victor Fleming'],https://resizing.flixster.com/lWmozREK1Q2be3MBm5mvEwS45zA=/fit-in/180x240/v2/https://resizing.flixster.com/Grjhpv0wcwgi-uhfaC3QM8KFglY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzdmOWE4MWFiLWVlOWMtNDA4Mi05OTA0LTRiNjMxNTEwMzk1MC5qcGc=,Gone With the Wind,1939,90%,Gone with the Wind's epic grandeur and romantic allure encapsulate an era of Hollywood filmmaking -- but that can't excuse a blinkered perspective that stands on the wrong side of history.,Winner of eight Academy Awards® (plus two special achievement Oscars) Celebrate the 85th Anniversary of one of the most celebrated... [More],"['Clark Gable', ' Vivien Leigh', ' Leslie Howard', ' Olivia de Havilland']"
49,https://www.rottentomatoes.com/m/patton,['Franklin J. Schaffner'],https://resizing.flixster.com/WXjDjSGnWA4cX6oAiH0yhSonF5g=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p4003_p_v8_aj.jpg,Patton,1970,91%,"George C. Scott's sympathetic, unflinching portrayal of the titular general in this sprawling epic is as definitive as any performance in the history of American biopics.","Biography of controversial World War II hero General George S. Patton. The film covers his wartime activities and accomplishments, beginning... [More]","['George C. Scott', ' Karl Malden', ' Michael Bates', ' Edward Binns']"
50,https://www.rottentomatoes.com/m/big_red_one,['Samuel Fuller'],https://resizing.flixster.com/RxWAgTLNsD9nqIKEUxJ2LV3JPrk=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p44_p_v8_aa.jpg,The Big Red One,1980,90%,The reconstruction of Samuel Fuller's epic account of his days in North Africa in World War II elevates the film into the pantheon of great war movies.,"Having previously fought in World War I, an unnamed sergeant (Lee Marvin) now leads soldiers of the U.S. First Infantry... [More]","['Lee Marvin', ' Mark Hamill', ' Robert Carradine', ' Bobby Di Cicco']"
51,https://www.rottentomatoes.com/m/inglourious_basterds,['Quentin Tarantino'],https://resizing.flixster.com/JkvEOuImG0P_N70SdAicyGUfZbQ=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p193875_p_v7_aq.jpg,Inglourious Basterds,2009,89%,"A classic Tarantino genre-blending thrill ride, Inglourious Basterds is violent, unrestrained, and thoroughly entertaining.",It is the first year of Germany's occupation of France. Allied officer Lt. Aldo Raine (Brad Pitt) assembles a team... [More],"['Brad Pitt', ' Mélanie Laurent', ' Christoph Waltz', ' Eli Roth']"
52,https://www.rottentomatoes.com/m/lincoln_2011,['Steven Spielberg'],https://resizing.flixster.com/emFV3ol6RG2fwSGLb-4RRBoecvk=/fit-in/180x240/v2/https://resizing.flixster.com/l3Wo9iTyQ0Z4F9TJBRZSBRe7ZEU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzMwMDkyOGZjLTE2ZDAtNGM4My05YjQwLTI1NDc3NmFjOGRlMC5qcGc=,Lincoln,2012,90%,"Daniel Day-Lewis characteristically delivers in this witty, dignified portrait that immerses the audience in its world and entertains even as it informs.","With the nation embroiled in still another year with the high death count of Civil War, President Abraham Lincoln brings... [More]","['Daniel Day-Lewis', ' Sally Field', ' David Strathairn', ' Joseph Gordon-Levitt']"
53,https://www.rottentomatoes.com/m/platoon,['Oliver Stone'],https://resizing.flixster.com/DPSrNd5I5oP7rNOX4vD_G9YgyTI=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9665_p_v10_au.jpg,Platoon,1986,89%,"Informed by director Oliver Stone's personal experiences in Vietnam, Platoon forgoes easy sermonizing in favor of a harrowing, ground-level view of war, bolstered by no-holds-barred performances from Charlie Sheen and Willem Dafoe.",Chris Taylor (Charlie Sheen) leaves his university studies to enlist in combat duty in Vietnam in 1967. Once he's on... [More],"['Tom Berenger', ' Willem Dafoe', ' Charlie Sheen', ' Forest Whitaker']"
54,https://www.rottentomatoes.com/m/good_morning_vietnam,['Barry Levinson'],https://resizing.flixster.com/FZok6RPZK7HsFsz1PNrIzBC9-uk=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10544_p_v8_ak.jpg,"Good Morning, Vietnam",1987,90%,"A well-calibrated blend of manic comedy and poignant drama, Good Morning, Vietnam offers a captivating look at a wide range of Robin Williams' cinematic gifts.",Radio funny man Adrian Cronauer (Robin Williams) is sent to Vietnam to bring a little comedy back into the lives... [More],"['Robin Williams', ' Forest Whitaker', ' Tung Thanh Tran', ' Chintara Sukapatana']"
